,review_id,preview,review,rating,label
38845,8630,"The author of ""Nekromantik""  Jörg Buttgereit's second feature film  ""Der Todesking"" is a powerful ma","The author of ""Nekromantik"", Jörg Buttgereit's second feature film, ""Der Todesking"" is a powerful masterpiece. Centered around a chain letter originating from a group called ""The Brotherhood of the 7th Day"", the movie shows 7 episodes, each consisting of one day during one week, where suicide is approached using different characters and situations all the while the letter is making it's rounds. Do not touch this one if you like Hollywood movies or musicals, enjoy happy or even remotely ""normal"" movies or expect a movie to be good only, if it is focused on stage acting.<br /><br />The nihilistic, avant-garde approach of Der Todesking well explains, why Buttgereit's movies in general were banned in Germany, their native country of origin, during the 80's and most of the 90's. Der Todesking is not really focused on the characters appearing on-screen, but the meaningless apathy or depression most people's lives consist of in general. Buttgereit does not find reasons to go on living, only reasons to stop, and in choosing how and when you die, you can also be the king of death, Der Todesking.<br /><br />Buttgereit's movies are generally difficult to categorize and Der Todesking is no exception. Featuring the same crew and almost the same cast as all other of his movies, ""art film"" would probably be the closest description every time. Der Todesking features an original method to shoot, create the mood and handle the central object in almost every scene. During one scene, the camera slowly, continuously pans in 360 degree circle, while a person lives in a small one-room apartment for a day. During another, Buttgereit uses sound and film corruption to depict the collapsing mental state of a man, while he dwells in his desperation. During a third, seemingly pleasant scene names, ages and occupations of actual people to have committed suicide are shown on-screen, supposedly warranting the ban in Germany for this particular movie.<br /><br />Episode movies (and especially this one, as the scenes are only vaguely connected) generally suffer from incoherence, and Der Todesking is no exception. While all episodes have the same focus of inflicted death and it's consequences or subsequences in all it's variations, there are very powerful episodes, yet an episode or two might even seem like filler material, partly draining the overall power of the movie - still, the the jaw-dropping, immensely powerful intermissions depicting a decomposing body manage to keep the movie together and cleanse it from it's more vague moments back to the status of greatness. The general atmosphere is baffling, awe-inspiring, highly depressing and sometimes even disgusting - so much so that dozens of people left in the middle of the movie during a theater showing in a film festival I took part of.<br /><br />This is one movie that does leave a lasting impression and I strongly recommend it for anyone looking for a special experience and something they will definitely remember in years to come. Not recommended for the faint of heart or show time fans, this is a small, different movie that truly raises feelings in the audience. Whether it be confusion, amazement or even hate, you aren't likely to be left cold by this, in my opinion the best, achievement of this small indie crew.<br /><br />The main theme of the movie, ""Die Fahrt ins Reich der Menschentrümmer part I-III"" was released in a limited 666-piece 8"" vinyl edition, which is now much sought after. You still can get the classical masterpiece by getting ""The Nekromantik"" soundtrack CD, which I highly recommend. The Lo-Fi synthesizer music in the movie is dark and quirky, almost illbient-like, makes an essential part of the movie's atmosphere, and is something you would very, very rarely hear otherwise. Much recommended!",9,pos
28442,11425,I don't know what it was about this film that made me react so viscerally against it. Perhaps it was,"I don't know what it was about this film that made me react so viscerally against it. Perhaps it was the characters who so unlikable and were not compelling enough to care about. Perhaps it was the disorganized storyline. Perhaps it was the fact that Rob Lowe wore a long dangly earring and eyeliner. Perhaps it was because at some point in the movie they all break out in song. Perhaps it was because the 1980s were never that 80s. Perhaps it was because everything was a garish hyperbole. Perhaps it was because a character pumps his fist while driving away from the camera during a fade out. I don't know what it was that made me hate it so, but if it means trying to watch it again I'm not willing to find out.",1,neg
27404,4171,I'd passed this title 15 or 20 times while in Blockbuster  looking for something halfway decent to w,"I'd passed this title 15 or 20 times while in Blockbuster, looking for something halfway decent to watch. All I can say is that they were all out halfway decent films the night I chose to rent this.<br /><br />I will give it credit for being leaps and bounds better than ""Dracula 3000"", but in actuality that's pretty easy to say since this one DIDN'T have Caper Van Dien in it. The other things it lacked in spades were: an interesting cast, interesting story, good dialog and originality, but I suppose you can't have everything.<br /><br />***SPOILERS AHEAD*** The misfit crew of vampire hunters (one of which was a vampire... go figure) flew around from mining colony to mining colony trying to wipe out all the vampires it could find. The crew consists of: the cocky, ne'er-do-well captain (who dies early on), his by-the-book, yet inexperienced first mate, the aforementioned vampire vampire hunter (not a typo), a wannabe cowboy and a REALLY, REALLY butch Asian commando, ""tough guy"" female... it almost sounds like the cast for MTV's 'The Real World'. After the captain dies in a violent confrontation with a mob of bloodsuckers (and as it turns out, lovers of the finer parts of human anatomy) his first mate takes over... blah, blah, blah... everyone hates him... blah, blah, blah... I could go on, but as I said it's the same storyline used in about a hundred other 'films' of the genre.<br /><br />The effects were cheese and why Michael Ironside was in this movie is beyond me. The vampire vampire hunter (still not a typo) was pretty hot, but of course if you're waiting for her to expose more than just her cleavage, look elsewhere.<br /><br />I can't say that it was the worst film I've seen, as I actually rented 'Starship Troopers 2', but wait for this one to come on the Sci-Fi Channel.",4,neg
13229,11961,Affable aspiring cartoonist Hoops McCann (a wonderfully engaging performance by John Cusack) and his,"Affable aspiring cartoonist Hoops McCann (a wonderfully engaging performance by John Cusack) and his best buddy George (the deliciously deadpan Joel Murray) go to Nantucket for the summer following graduation from high school. Hoops, George, and several newfound pals come to the aid of Cassandra (Demi Moore at her most charming), a singer who's family house is being threatened with demolition by the greedy Beckersted clan. Writer/director Savage Steve Holland offers an often hilariously wacky and zesty nonstop barrage of admittedly broad and dumb, but still very funny jokes. The constant madcap lunacy has a real giddy, good-natured and infectiously inane vitality to it that's impossible to either dislike or resist. Moreover, the lively and enthusiastic acting from a fine game cast adds immensely to the zany merriment: Bobcat Goldthwait as the spastic Egg Stork, Tom Villard as his goofy brother Clay, Curtis Armstrong as the sweet Ack Ack Raymond, Mark Metcalf as evil rich jerk Aquilla Beckersted, Matt Mulhern as the mean Teddy, Kimberly Foster as the fetching Cookie, Joe Flaherty as the gung-ho General Raymond, William Hickey as cranky Old Man Beckersted, Jeremy Piven as smug preppy bully Ty, and John Matuszak as hulking biker Stan. Isidore Mankofsky's slick cinematography, the hip thrashy soundtrack, Cory Lerios' cool rockin' score, and the funky animation are all uniformly excellent. Single funniest scene: Egg in a Godzilla suit terrorizing a posh dinner party. An absolute hoot.",8,pos
3358,4786,It seems like people are attracted to shows that showcase pathetic lives that have no purpose what-s,"It seems like people are attracted to shows that showcase pathetic lives that have no purpose what-so-ever. To me i give my sincerity to NBC for their dire efforts to make new changes in television, making laugh track free shows. They seem to always find big success, like The Office. When I first started to watch it seemed to me that it could have potential to be a smash hit. But after a couple of episodes, I really felt like going to church and donating every penny in my entire bank to pathetic people showcased in these lowlife, poor, disgraceful areas. And the end where they show Earl and the brother in bed together, it just seems to me that this show is trying to show the bad side of life, like street beggars or people who struggle to pay the rent and have no sense of what the real world of normal people in society are like. I just seem to always be disgusted when I watch the filth the people in this show live in. It's like Venice Beach in California, beautiful but so many hobos. Believe me I'm no rich guy, middle class, and not a clean freak either, a bit sloppy, but it just seems to me that the show just can't seem to get off of all the gruesome, schmuck people out there who have one leg. I just wish that they would show a little more class, not all filth and poorness and trailers and just below average life, it just seems to depress me. To me this show is nothing more than a showcase of what not to do in life, what not to be. It also shows me that education is the most important thing you can have because apparently these two don't have an ounce of smarts. This is a schmuck-u-mentary.",4,neg
45114,6155,"""Bedknobs and Broomsticks"" is a magical adventure film with a certain charm  despite not being one o","""Bedknobs and Broomsticks"" is a magical adventure film with a certain charm, despite not being one of the best Disney works. It has a generally good story, nice songs, great characters, good actors, magical and delightful special effects, good settings and lovely landscapes of England.<br /><br />It also combines very well live-action and animation. The animation itself is, of course, pretty good. The animation resembles very much that of the 1973 animated film ""Robin Hood"" and the same can be said about the animated characters: there are plenty of wild animals such as bears, elephants, hippos, lions, crocodiles and others like in ""Robin Hood"". Besides, the King (a lion) seems to be a mix of Prince John and King Richard, not to mention that the bear does look like Little John.<br /><br />This movie is often compared to ""Mary Poppins"" with a reason. Both combine live-action and animation with a similar artwork. Both have similar settings in London. Both have their own magic and a magical woman. The kids (Carrie, Charlie and cute little Paul) are a bit like the Banks children. Both movies were directed by Robert Stevenson and both cast David Tomlinson. However, instead of a very serious man like George Banks, David Tomlinson plays a merrier and magical man - Professor Emelius Browne. With its magic, this movie has also some slight but significant similarities to Harry Potter's stories.<br /><br />The majority of the songs are good. ""The Age of Not Believing"" and ""The Beautiful Briny Sea"" are the very best. ""Portobello Road"" is nice too.<br /><br />David Tomlinson is great in this film once again. Angela Lansbury is great as Miss Price and the 3 kid actors are all fine too: Cindy O'Callaghan as Carrie, Ian Weighill as Charlie (a boy in «the age of not believing») and Roy Snart as the youngest brother Paul.<br /><br />I like the black cat. It's pretty cool. It looks a bit like Salem, the black cat from the TV series ""Sabrina, the teenage witch"". I find cute whenever one of the movie's characters is transformed into a white rabbit. Rabbits are really cute, fluffy and adorable animals. I just love them! Even funnier is whenever Professor Emelius Browne is transformed into a white rabbit because, when he's transformed in human again, he shakes his nose like a rabbit. It's really hilarious, combined with his comical figure and that mustache.<br /><br />Overall, this is an okay movie, but its ending is quite bad. The first minutes of the movie are nothing special, but then it improves a lot. The ending, however, is weak. That's my major criticism about it, in great part because the animated knights thing is a little too much for me and also due to the war feeling.",7,pos
19627,1283,Christopher Nolan had his goals set on Following in a very narrow direction  and in that direction h,"Christopher Nolan had his goals set on Following in a very narrow direction, and in that direction he pulled off something that reminded me of the kind of great little 'poverty-row' movies the likes of Ullmer directed back in the 40s. Only this time, he's able to implement touches of homage- things like black and white photography (a given due to the shoe-string budget but also essential to the dark crevices these characters inhabit) and casting of the actors (the John Doe lead, the slick male counterpart, and the beautiful-in-a-gritty way femme fatale)- while keeping it in the realm of the 90s underground indie where for several thousand dollars and specific choices in locations and music and such anything could be possible. That, and as well in the film-noir mood Nolan also puts together a cunning web of a plot, maybe even more so than Memento. Where the latter was a work of a psychology unfolding by way of a plot enriched by looking to the past inch by inch, here the non-linear structure serves the purpose of showing how far someone like Bill can go through as dark a path as Cobb, only in an environment where keeping on your toes is not for someone who's not really twisted and into the deeper mind games Cobb is.<br /><br />Of course, the whole act of following someone becomes the main thrust of the story, and going into it I wasn't even sure where it would lead, if it might be some kind of stream of consciousness ala Slacker where Nolan would lead his character along to one urban British person to another. But the establishment of the ties of Bill to Cobb are done in a quick and excellent way, as we see right when Cobb approaches Bill at the café to ask what he's doing following him tells almost all we need to know about both- that, and the first robbery he brings him along for. What seems to soon be a good score on the horizon is really all one big set-up by Cobb and his lady (just called 'The Blonde', maybe a too-obvious homage to noir, but why carp). But this is revealed in a way that actually truly had me guessing, as the manipulation of the narrative worked all the more to arouse questions not so much of why but of how. The density is brought out all the greater due to the actors understanding of their essential points as characters, with Alex Haw being brilliant as a true sociopath who can barely mask his 'deep' ideas about what it is to really take pleasure in a burglary, and Theobald with that demeanor of someone who can never be as smart as he is in what he really does, but is more intelligent in that naive way that stands no chance in the dank environment such as this; Russell almost makes it too easy, even with a face that would send Ana Savage shaking her head.<br /><br />Meanwhile, Nolan is also on the ball with his style as a cameraman, keeping nothing in that doesn't add to ambiance and suspense, with the fade-in/fade-outs not too quick to leave a lasting impression, but enough to add to the 'this-could-lead-anywhere' logic of the script. He follows it in hand-held form as if he knows where his limitations lie, and yet is fantastic at keeping the essentials: close-ups when need be (one I loved is Russell's face in a small mirror), and a fairly simple techno track that never detracts. Sometimes, as mentioned, the line between seeing something in 'present-day' and seeing something that is as everlasting as a solid pulp story of low-level criminals with mind-games and moral ambiguity is always never totally clear, which for me is practically irresistible in its dark way. Simply put, this is one of the great calling cards I've seen from a filmmaker in recent years, and should hopefully be something that future fans of Nolan's other work can look forward to to discovering. Or even to those who think that noir has gone to the rapid-editing and big-gun-firing dogs of the mainstream (even in independent films) it's a bright little 71 minutes.",10,pos
23160,6867,I was very curious about Anatomy (aka Anatomie) and if I was going to see it  I was going to have to,"I was very curious about Anatomy (aka Anatomie) and if I was going to see it, I was going to have to buy it since no video stores in my area carried the film. Since it was not a low-priced DVD, I did take a chance and thought I'd take a peek at other comments on IMDb. Many of the comments didn't give me enough hope of forking out lots of bucks for a film I had never seen nor had any clues about. I basically got the idea it was a sexy youth-oriented romp being compared to many cookie-cutter teen thrillers. Well, something in the back of my mind told me to ignore those types of comments and buy it! I did, and was I pleasantly surprised!<br /><br />If it is going to be compared to any other films, I would say it's a variation of Coma and Extreme Measures. I couldn't see any comparison to films like Scream, Urban Legends, et al. Yes, the cast is young (that's because they're med students! At least they aren't the increasingly boring high school type characters), and yes, some are lusty (basically the character played by Anna Loos is, and it is handled quite tastefully in the German language version), but Anatomy is well constructed, there is a tense mood throughout, the sets are amazing, the makeup effects are a wow, and Franka Potente is very credible in her role. I found myself enjoying all of it despite a few gaping holes in the plot! The story of a student discovering a sort-of secret society doing autopsies on still-living patients is a rather creepy scenario and what happens to those patients afterwards is quite clever. Sure, you could ask why didn't she just GET OUT OF THAT TOWN? Okay, but then the film would be over within a half hour.<br /><br />This was the first effort from the German part of Columbia Pictures, and it's actually quite an impressive one. There was a bit of care in the production and to actually offer some genuine thrills is an accomplishment. It is a bit mature in mind, as it doesn't resort to constant opportunities for sexual encounters(a breast fest) or juvenile drug jokes. Anna Loos' character, while often making sexual remarks and looking for some fun, was actually a nice touch--having a character that was a woman more intelligent than any of the men in the school. She found that sex was really just a distraction for her and the men rather lacking.<br /><br />THE IMPORTANT STUFF: Watching this film in the original German language with English or French subtitles is the BEST way to enjoy it. I saw the theatrical trailers dubbed in English and was disgusted by the change it made in the film's tone. I have never seen a properly dubbed film in my life--they never can find voices that suit the film's actors or characters. Sure enough, I tried to watch some of Anatomy dubbed in English and the intelligence level of it dropped severely, making it seem more like a comedy. A good example is when one guy was freaked out at being cut open and screamed to be sewn back up--hearing it in German he sounded frantic, but dubbed in English he sounded like a comedian. Frankly, I'm sick of hearing people say they can't handle reading subtitles or watch a ""letterboxed"" film. Anatomy comes off as silly with dubbed voices that seem octaves too high for any of the people you see in the film, and Anna Loos' sexual comments then just sound like awful remarks right out of Fast Times At Ridgemont High. I wonder if the negative comments about Anatomy are from people who watched it dubbed, it just doesn't seem like the same film at all! This is not a cheap horror film and deserves to be viewed as it was created. Interesting to note that some of the English subtitles are different in scenes in the feature and the ""making of"" supplement.<br /><br />As it turns out, I gambled and won with Anatomy. It's a competent thriller with likeable characters and doesn't try to go for cheap thrills.",8,pos
45230,8575,This is a movie that i can watch over and over and never ever get tired of it  it has lot's of laugh,"This is a movie that i can watch over and over and never ever get tired of it, it has lot's of laughs, guns, action, crime,, good one liners, and a decent plot, with an over the top, Donald Sutherland in a rather comedic role as an Assasain. Tia Carerra looks as hot as she ever did and can act too, Thomas Ian Griffin is great in this as the lead character ""Max"" a DEA agent Diane is the FBI agent, played by Carerra, and John Lithgow from Frazier on TV, plays the bad guy,, ""Livingston"". The plot centers around Max and Diane trying to capture Livingston while they fight and argue with each other about who gets the money for the respective agencies, throw into the mix the Assassain Sutherland, who pretty much has all the good one liners, this is the perfect crime caper, there is the usual love story,, but played very differently than you would think by Carerra and Griffith. You also have the Russian mafia, Italian Mafia, and Chineese Mafia here thrown into the mix,, the film is shot in Boston,, where you have some great shots , and locals,, great photography and music in this film, this movie is just the epitome of a crime comedy,, it has everything that one could ever want. Check out Sutherland's toilet in a particular scene,, very unusual. this film is a riot and will make you laugh real hard 10 plus for me.",10,pos
11632,1579,I am a big fan of The ABC Movies of the Week genre. I am only 27  meaning I wasn't even born until a,"I am a big fan of The ABC Movies of the Week genre. I am only 27, meaning I wasn't even born until after the series ended, but I am trying to collect as many of them on DVD as possible. I have about a dozen or so. I had read such wonderful things about this film, both on here and elsewhere, that I was really excited to see it. I just received my DVD in the mail today and watched it anxiously. I'll admit that the first one or two phone calls did give me the creeps - that boy's voice would give anyone the creeps! But it began to ware off fast and the entire divorce subplot was stupid. I also figured out that Michael Douglas was the antagonist about a half an hour before the movie ended. As soon as that story was told about how Elizabeth Ashley's character had locked up his mother, I knew something was fishy. Plus, didn't anyone ever think to ask him why he happened to suddenly appear that night when the fire occurred in the barn? I'll admit that I thought he was coaching a boy at the school to make the phone calls. I didn't guess the mute boy part or the pre-recorded tapes (did they ever say whose voice that actually was? I doubt Douglas could ever get his voice that high?).<br /><br />I am only giving this movie a four out of ten because I actually liked most of the acting in it. Ashley especially is great.<br /><br />It's a shame, because this movie has such a great premise, but oh well, thats what happens sometimes when one gets his or her hopes up for a movie too much.",4,neg
18253,10429,I don't understand why more people have not commented on this  other than the fact that perhaps not ,"I don't understand why more people have not commented on this, other than the fact that perhaps not very many have seen it. It's an amazing cast of characters, one after another after another, all done by the guy who wrote the play. If you don't like filmed plays, you may not like this (after all, plays usually don't look good on TV), but it's a one-man show that will have you paying attention throughout. Highly recommended.",9,pos
5851,7285,I'm sorry to say this but I didn't enjoy this movie at all. It was just too boring. So boring that I,"I'm sorry to say this but I didn't enjoy this movie at all. It was just too boring. So boring that I couldn't watch the rest of it. It's not as interesting as the Lion King or Aladdin. That's why I hate this stupid days because these days are just not what they used to be. The movies that Disney have released lately really sucks! I miss the old days when they used to produce good movies like the Lion King, Aladdin, Pocahontas, Cinderella, The Aristocats, and Robin Hood. This movie is really awful. I really tried my best to be interested in this movie but I just couldn't. I don't think I could recommend this film to anyone. I would recommend the ones that I just mention above.",1,neg
18243,10775,In my opinion this is the best Oliver Stone flick -- probably more because of Bogosian's influence t,In my opinion this is the best Oliver Stone flick -- probably more because of Bogosian's influence than anything else. Riviting stuff -- full of dread from the first moment to its dark ending.,10,pos
27271,5875,This film deals with two ex-football players who are Fred Williamson  (Mack Derringer) and Gary Buse,"This film deals with two ex-football players who are Fred Williamson, (Mack Derringer) and Gary Busey, (Lenny) who work as private eyes and meet all kinds of ladies and men with some bad backgrounds. Mack Derringer is approached by his ex-wife Vanity (Jennifer Derringer) who works at having sex talk over the telephone. Jennifer is being threatened by one caller who wants to do horrible things to her and she asks for his help along with several other ladies. Mack & Lenny have more time on their hands and often go to Miami, Fl. golf courses or hang out in a Sports Bar where all kinds of city things go on. There is lots of punches, killings and plenty of double meaning words that bring this film completely down to a big ZERO. Don't waste your time, this film cost me only 50 cents and that was too much.",1,neg
46771,1576,This was a wonderful film. How these women tried to save their husbands. I thought that the performa,"This was a wonderful film. How these women tried to save their husbands. I thought that the performances of the actors were great. I had to think about the film for a very long time. I think that every student should see this film so that they can think about war, relationships, friendship and love. I liked the film because it told and showed me how strong love can be. I wish I could be so strong as a woman. I really liked it because it told me something about relationships and that is what I like to see in a movie. I think you can compare the film with Der Untergang, The pianist. If you put these three films together, you have a great sight of what happened during the war. We should remember something like the war forever.",10,pos
